,city,n_tech_jobs,lat,lng,postdate_timespan,prevalent_job_type,size,color
133,"Boston,, MA",2.0,40.0329,-75.5146,2,other,10.423976608187134,0.6666666666666666
134,"Bothell, WA",47.0,47.6211,-122.3244,2,other,19.96345029239766,0.6666666666666666
135,"Boulder, CO",10.0,35.9792,-78.9022,2,other,12.119883040935672,0.6666666666666666
136,"Bowie, MD",1.0,35.2083,-80.8303,2,other,10.211988304093568,0.6666666666666666
137,"Bowling Green, KY",1.0,37.6663,-121.8805,2,managment,10.211988304093568,0.6666666666666666
138,"Bowling Green, OH",2.0,33.6512,-81.3625,2,managment,10.423976608187134,0.6666666666666666
139,"Boxborough, MA",8.0,41.7661,-72.6834,2,other,11.695906432748538,0.6666666666666666
140,"Boyce, LA",1.0,38.9047,-77.0163,2,other,10.211988304093568,0.6666666666666666
141,"Brainerd, MN",1.0,37.3012,-121.848,2,other,10.211988304093568,0.6666666666666666
142,"Braintree, MA",1.0,,,2,other,10.211988304093568,0.6666666666666666
143,"Brampton, ON",2.0,37.4001,-122.0796,2,other,10.423976608187134,0.6666666666666666
144,"Branchburg, NJ",13.0,41.0529,-74.0499,2,other,12.755847953216374,0.6666666666666666
145,"Brandon, FL",2.0,35.066,-85.2481,2,other,10.423976608187134,0.6666666666666666
146,"Branford, CT",3.0,40.7184,-74.0686,2,other,10.635964912280702,0.6666666666666666
147,"Brattleboro, VT",1.0,,,2,other,10.211988304093568,0.6666666666666666
148,"Brea, CA",1.0,,,2,managment,10.211988304093568,0.6666666666666666
149,"Bremerton, WA",1.0,47.5439,-122.0471,2,other,10.211988304093568,0.6666666666666666
150,Brentwood,1.0,41.2627,-96.0529,2,other,10.211988304093568,0.6666666666666666
151,"Brentwood, CA",4.0,37.9356,-121.719,2,managment,10.847953216374268,0.6666666666666666
152,"Brentwood, NY",3.0,41.0919,-73.9143,2,other,10.635964912280702,0.6666666666666666
153,"Brentwood, TN",9.0,36.1715,-86.7842,2,other,11.907894736842104,0.6666666666666666
154,"Briarcliff Manor, NY",4.0,37.7624,-121.9365,2,other,10.847953216374268,0.6666666666666666
155,"Briarcliff, NY",1.0,43.0822,-89.393,2,other,10.211988304093568,0.6666666666666666
156,"Briarwood, KY",1.0,41.0798,-81.5219,2,ai,10.211988304093568,0.6666666666666666
157,"Bridgeport, CT",6.0,41.1918,-73.1954,2,other,11.271929824561404,0.6666666666666666
158,"Bridgeton, MO",1.0,29.5891,-97.9676,2,other,10.211988304093568,0.6666666666666666
159,"Bridgeville, DE",1.0,40.6943,-73.9249,2,other,10.211988304093568,0.6666666666666666
160,"Bridgeville, PA",1.0,38.9047,-77.0163,2,other,10.211988304093568,0.6666666666666666
161,"Bridgewater, MA",1.0,,,2,other,10.211988304093568,0.6666666666666666
162,"Bridgewater, NJ",46.0,41.7661,-72.6834,2,other,19.751461988304094,0.6666666666666666
163,"Brighton, MA",2.0,,,2,managment,10.423976608187134,0.6666666666666666
164,"Brisbane, CA",7.0,37.3646,-121.968,2,other,11.48391812865497,0.6666666666666666
